Title,Year,Episodes,Author(s),Kdrama Rating,Kdrama Genres,Kdrama Tags,Kdrama Watchers,Kdrama Popularity,Kdrama Cast,Kdrama Synopsis,WE Creators,WE Genre,WE Rating,WE Views,WE Likes,WE Engagement,WE Subscribers,WE Popularity,WE Synopsis
Dinner Mate,2020,32,,,,,,,,,,,,,,,,,
Mystic Pop-Up Bar,2020,12,,,,,,,,,,,,,,,,,
A Successful Geek,2020,5,,,,,,,,,,,,,,,,,
The World of My 17,2020,12,,,,,,,,,,,,,,,,,
How to Buy a Friend,2020,8,,,,,,,,,,,,,,,,,
Rugal,2020,16,,,,,,,,,,,,,,,,,
"Meow, the Secret Boy",2020,24,,,,,,,,,,,,,,,,,
Kingdom Season 2,2020,6,,8.90,"Historical, Horror, Supernatural, Thriller","Corruption, Death, Gore, Greed, Joseon Dynasty, Power Struggle, Smart Female Lead, Strong Female Lead, Strong Male Lead, Zombies",36037,-0.252,"Bae Doo Na, Joo Ji Hoon, Jun Suk Ho, Kim  Sang Ho, Kim Sung Gyu, Ryu Seung Ryong","Following the events in season one, waves of the undead threaten to reach the capital. In an attempt to save the people during the plague and regain his right to the throne, Crown Prince Lee Chang pursues Jo Hak Joo to overthrow him, while the Queen is in a race against time to produce an heir to the throne.",,,,,,,,,
Memorist,2020,16,,,,,,,,,,,,,,,,,
Itaewon Class,2020,16,,8.47,"Business, Drama, Life, Romance","Adapted From A Webtoon, Badass Female Lead, Boss-Employee Relationship, Female Chases Male First, Hardworking Male Lead, Love Triangle, Nice Male Lead, Revenge, Smart Female Lead, Strong Female Lead, Time Skip, Tragic Past",150987,0.251,"Ahn Bo Hyun, Kim Da Mi, Kim Dong Hee, Kwon Na Ra, Park Seo Joon, Yoo Jae Myung","Park Saeroyi's life has been turned upside down after he gets expelled from school for punching a bully and his father is killed in an accident. Following his father's steps, he opens a pub named ""DanBam"" in Itaewon and, along with his manager and staff, strive towards success and reaching greater heights.",,,,,,,,,
How Are You Bread,2020,5,,,,,,,,,,,,,,,,,
Secret Zoo,,,,,,,,,,,,,,,,,,,
Start-Up,,,,8.10,"Business, Comedy, Romance, Youth","Artificial Intelligence, Competition, Grandma-Granddaughter Relationship, Hardworking Female Lead, Hardworking Male Lead, Love Triangle, Nice Female Lead, Raised By Grandmother, Sibling Rivalry, Unrequited Love",111863,0.176,"Bae Suzy, Kang Han Na, Kim Do Wan, Kim Hae Sook, Kim Seon Ho, Nam Joo Hyuk","Set in one of the world’s most advanced tech sector, “Start Up” tells the tale of the razor-thin margins between ultimate success and abject failure. The story takes place in the fictional Sandbox Company,  where the journey of four unique people is told.After a revolving door of unfulfilling retail jobs, Seo Dal Mi is unsatisfied with the current trajectory of her life. Her soul longs for a grand adventure that sees her at the top and managing her own company. Although she does not have much to offer, she has big dreams, red hot ambition, and the soul of a pioneer.A constant source of his family's pride as a child, Nam Do San as an adult is the founder of Sam San Tech, a fledgling start-up company that is looking to transition into bigger endeavors. But a vague dream and limited ambition see his company flounder. Unknown to him, the tailwinds of fate has begun to fill up SST's sails.Han Ji Pyeong, a man who does not want to owe anyone anything, owes a large debt to one special person who helped him greatly in the past. His role in the start-up world sees him as Judge, Jury, and Executioner, as his pragmatic advice sees the futures of start-ups either rise into greatness or fall into obscurity.Tired of doing all the work, but seeing the credit go to someone else, Won In Jae yearns to prove herself in a male-dominated industry, as a capable woman who can succeed without the advantages her privileged childhood has given her.(Source: Kimsamsoom at MyDramaList)",,,,,,,,,
Killed My Wife,,,,,,,,,,,,,,,,,,,
Do With All Your Heart Today,2019,4,,,,,,,,,,,,,,,,,
Extraordinary You,2019,32,,8.37,"Comedy, Fantasy, Romance, Youth","Adapted From A Webtoon, Amnesia, Character Development, Height Difference, High School, Illness, Love Triangle, Multiple Mains, Nice Male Lead, Sassy Female Lead, Strong Female Lead",136969,0.218,"Jung Gun Joo, Kim Hye Yoon, Kim Young Dae, Lee Jae Wook, Lee Na Eun, Lee Tae Ri, Ro Woon, Rowoon","What would you do if you found out that you were, in fact, a character in a comic? And an extra character on top of that? Change the course of the story, obviously! Eun Dan Oh is a 17-year-old high-school student from a wealthy family who suffers from a lifelong heart condition that inevitably means she will not live past her teenage years. However, when Dan Oh realizes she is experiencing long gaps in her memory as well, she comes into the unhappy realization of another fact in her life: she is a character in a Korean webtoon and all of her actions are predetermined by the artist who draws her. To make matters worse, she discovers she is only a supporting character in the cast. With her newfound understanding of the world she inhabits, she is determined to find true love in her own plot-line and circumvent the author’s plans for her character by utilizing the flashes of storyboard she alone is able to see.",,,,,,,,,
The Tale of Nokdu,2019,32,,,,,,,,,,,,,,,,,
Pegasus Market,2019,12,,,,,,,,,,,,,,,,,
Strangers from Hell,2019,10,,8.70,"Drama, Horror, Psychological, Thriller","Adapted From A Webtoon, Animal Abuse, Animal Death, Gaslighting, Hostel, Hot-Tempered Male Lead, Mental Illness, Mental Torment, Murder, PTSD, Psychopath, Torture, Trauma",54461,-0.147,"Ahn Eun Jin, Im Si Wan, Lee Dong Wook, Lee Joong Ok, Lee Jung Eun, Park Jong Hwan, Yim Si Wan","Yoon Jong Woo is a young guy in his 20s who moves from the countryside to Seoul after his college friend, Jae Ho, offers him a job. While looking for a place to live, he stumbles upon Eden Gosiwon, a cheap hostel that shares the kitchen and bathroom with other residents. He is not thrilled about the quality of the place or the other abnormal residents, such as his next-door neighbor Seo Moon Jo, a charismatic dentist. Nevertheless, Jong Woo decides to put up with it for 6 months until he saves enough money to move out. However, mysterious events start occurring in the apartment, causing Jong Woo to begin fearing the apartment's residents.",,,,,,,,,
Love Alarm,2019,8,,7.10,"Comedy, Drama, Romance, Youth","Adapted From A Webtoon, Bromance, First Love, Heartbreak, Love Triangle, Male Chases Female First, Poor Woman, Rich Male Lead, Rich Man, Suicide, Trauma",123882,0.405,"Go Min Si, Jung Ga Ram, Kim So Hyun, Kim Young Pil, Song Kang, Song Sun Mi","The cellphone app Love Alarm is created. If someone likes you and they are within 10 meters of you, the alarm for the app rings. The app also shows how many people like you, but the app doesn't reveal specific details on who likes you. Kim Jo Jo is a high school student. She is pretty and smart. She seems like a cheerful person, but her parents died when she was young. Since the death of her parents, Kim Jo Jo has lived with her aunt's family. Living there is not easy for Kim Jo Jo. She doesn't download the app as her phone isn’t new enough.Meanwhile, Hwang Sun Oh is a popular male student at the same high school that Kim Jo Jo attends. He is the son of a wealthy family, but he is not loved by his parents. His best friend, Lee Hye Yeong, also attends the same high school. Hwang Sun Oh notices that his best friend, Lee Hye Yeong, likes Kim Jo Jo. Hwang Sun Oh wants to know if his friend really likes her, so he kisses her.(Source: Dramanice)",,,,,,,,,
Long Live the King: Mokpo Hero,,,,,,,,,,,,,,,,,,,
0.0MHz,,,,,,,,,,,,,,,,,,,
My Absolute Boyfriend,2019,40,,,,,,,,,,,,,,,,,
"Spring, Again",,,,,,,,,,,,,,,,,,,
How to Hate You,2019,6,,,,,,,,,,,,,,,,,
The Banker,2019,32,,,,,,,,,,,,,,,,,
Item,2019,32,,,,,,,,,,,,,,,,,
Kingdom,2019,6,,8.80,"Historical, Horror, Political, Thriller","Adapted From A Webtoon, Corruption, Gore, Joseon Dynasty, Nice Male Lead, Power Struggle, Strong Female Lead, Strong Male Lead, Survival, Zombies",58560,-0.150,"Bae Doo Na, Joo Ji Hoon, Kim Sung Gyu, Ryu Seung Ryong","No sooner does the Joseon King succumb to smallpox, do the rumors of his death begin. The Cho Clan, the clan of the pregnant Queen and her father, Chief State Councillor Cho Hak Joo, declares the Crown Prince, a traitor.
Questioning the circumstances surrounding the King’s death, the Crown Prince and his guard, Moo Young, set forth to locate Lee Seung Hui, the last physician to treat his father. But the two end up stuck with Assistant Physician Seo Bi and a mysterious man named Young Shin in a village plagued with a terrifying disease.",,,,,,,,,
"My Lawyer, Mr. Jo 2: Crime and",,,,,,,,,,,,,,,,,,,
The Sound of Your Heart: Reboot,,,,,,,,,,,,,,,,,,,
Clean with Passion for Now,2018,16,,,,,,,,,,,,,,,,,
Feel Good to Die,2018,32,,,,,,,,,,,,,,,,,
Mama Fairy and the Woodcutter,2018,16,,,,,,,,,,,,,,,,,
Drama Special Season 9: The Tuna and,,,,,,,,,,,,,,,,,,,
Ping Pong Ball,2018,2,,,,,,,,,,,,,,,,,
Dokgo Rewind,2018,20,,,,,,,,,,,,,,,,,
Along with the Gods 2: The Last 49,,,,,,,,,,,,,,,,,,,
My ID Is Gangnam Beauty,2018,16,,,,,,,,,,,,,,,,,
Illang: The Wolf Brigade,,,,,,,,,,,,,,,,,,,
Your House Helper,2018,32,,,,,,,,,,,,,,,,,
Student A,,,,,,,,,,,,,,,,,,,
What's Wrong with Secretary Kim,,,,8.50,"Business, Comedy, Friendship, Romance","Adapted From A Webtoon, Boss-Employee Relationship, Calm Female Lead, First Love, Male Chases Female First, Narcissistic Male Lead, Office Romance, Phobia, Rich Male Lead, Secretary, Smart Female Lead, Steamy Kiss, Trauma",212766,0.473,"Kim Byung Ok, Kim Hye Ok, Lee Tae Hwan, Park Min Young, Park Seo Joon, Pyo Ye Jin","The series revolves around the narcissistic Lee Young Joon, the vice president of a company run by his family. He is very self-absorbed and thinks highly of himself, so much that he barely acknowledges the people around him. Lee Young Joon has a capable and patient secretary Kim Mi So who has remained by his side and worked diligently for 9 years without any romantic involvement. However, Mi So now wants to set her life & focus on herself so when she decides to resign from her job, hilarious misunderstandings ensue. After 9 years of their strictly-workplace relationship, can it now develop in something more?",,,,,,,,,
Cheese in the Trap,,,,7.40,"Drama, Life, Psychological, Romance","Adapted From A Webtoon, Cold Male Lead, Enemies To Lovers, Love Triangle, Possessive Male Lead, Rich Male Lead, School Bullying, Smart Female Lead, Smart Male Lead, Stalking",107382,0.289,"Kim Go Eun, Lee Sung Kyung, Nam Joo Hyuk, Park Hae Jin, Park Min Ji, Seo Kang Joon","Having returned to college after a year long break due to her family's poor background, Hong Seol, a hardworking over-achiever, inadvertently gets on the wrong side of her senior, Yoo Jung, who's athletic, good looking, gets good grades and has a kind personality, as well as a hidden dark side. From then on her life takes a turn for the worse and Hong Seol is almost certain it's all Yoo Jung's doing. So why is he suddenly acting so friendly a year later?(Source: WeTV)~~ Adapted from the webtoon ""Cheese in the Trap"" (치즈인더트랩) by Soonkki (순끼).",Soonkki,drama,9.71,159875287,9927119,0.062,1122464,0.115,"After returning to college from a long break, model student Seol finds herself caught up with Jung, a senior who's also known as Mr. Perfect. Seol feels like her life took a turn for the worse since Jung came into her life... but is he intentionally turning her life upside down?"
Romance Written Differently,2018,8,,,,,,,,,,,,,,,,,
Little Forest,,,,,,,,,,,,,,,,,,,
Longing Heart,2018,10,,,,,,,,,,,,,,,,,
Steel Rain,,,,,,,,,,,,,,,,,,,
Along with the Gods: The Two Worlds,,,,,,,,,,,,,,,,,,,
The Best Moment to Quit Your Job,,,,,,,,,,,,,,,,,,,
The Chase,,,,,,,,,,,,,,,,,,,
Meloholic,2017,10,,,,,,,,,,,,,,,,,
We Are Peaceful Brothers,2017,15,,,,,,,,,,,,,,,,,
Go Back Couple,2017,12,,8.60,"Comedy, Fantasy, Life, Romance","1990s, Bromance, Failing Marriage, Hate Relationship, Love, Misunderstanding, Mother-Daughter Relationship, Sassy Female Lead, Second Chance Romance, Sismance, Time Travel",37662,-0.190,"Jang Na Ra, Son Ho Jun","38-years-old married couple, Choi Ban Do and Ma Jin Joo, were in love when they got married but now, hate each other and regret marrying at such a young age. Choi Ban Do has been burdened with being the breadwinner, and Ma Jin Joo is a housewife with low self-esteem. The couple travels through time and finds themselves as 20-year-old university students when they met for the first time.",,,,,,,,,
Avengers Social Club,2017,12,,,,,,,,,,,,,,,,,
Shining Na Ra,2017,12,,,,,,,,,,,,,,,,,
The IDOLM@STER.KR,2017,24,,,,,,,,,,,,,,,,,
The Boy Next Door    9.0,2017,15,,,,,,,,,,,,,,,,,
The Liar and His Lover,2017,16,,,,,,,,,,,,,,,,,
The Sound of Your Heart,2016,20,,,,,,,,,Cho Seok,comedy,9.56,33851073,2423522,0.072,157511,0.025,"While it may seem like a mere depiction of everyday life, The Sound of Your Heart is a comedy filled to the brim with wit, sarcasm, and parody. It gives no regard for the probable or realistic- it is a series of absurd situations that is sure to get a laugh out of every reader willing to suspend their sense of reality."
Sweet Stranger and Me,2016,16,,,,,,,,,,,,,,,,,
Women at a Game Company,2016,11,,,,,,,,,,,,,,,,,
Tong: Memories,2016,12,,,,,,,,,,,,,,,,,
"Bring It On, Ghost    8.0",2016,16,,,,,,,,,,,,,,,,,
"My Lawyer, Mr. Jo",2016,20,,,,,,,,,,,,,,,,,
A Violent Prosecutor,,,,,,,,,,,,,,,,,,,
Ready for Start - Vol. 1,2016,12,,,,,,,,,,,,,,,,,
Cheese in the Trap    6.0,2016,16,,,,,,,,,,,,,,,,,
Inside Men: The Original,,,,,,,,,,,,,,,,,,,
Cheers to Me,2015,10,,,,,,,,,,,,,,,,,
Imaginary Cat,2015,8,,,,,,,,,,,,,,,,,
Inside Men,,,,,,,,,,,,,,,,,,,
Awl,2015,12,,,,,,,,,,,,,,,,,
Webtoon Hero - Tundra Show,2015,12,,,,,,,,,,,,,,,,,
Last,2015,16,,,,,,,,,,,,,,,,,
Late Night Restaurant,2015,20,,,,,,,,,,,,,,,,,
We Broke Up,2015,10,,,,,,,,,,,,,,,,,
Prince's Prince    8.0,2015,10,,,,,,,,,,,,,,,,,
Orange Marmalade    8.5,2015,12,,,,,,,,,,,,,,,,,
Jumping Girl,2015,15,,,,,,,,,,,,,,,,,
The Girl Who Sees Scents,2015,16,,,,,,,,,,,,,,,,,
Super Daddy Yeol,2015,16,,,,,,,,,,,,,,,,,
Ho Goo's Love,2015,16,,,,,,,,,,,,,,,,,
"Hyde, Jekyll, Me",2015,20,,,,,,,,,,,,,,,,,
The Cat Funeral,,,,,,,,,,,,,,,,,,,
Space Between: Sunshowers,2014,4,,,,,,,,,,,,,,,,,
Dr. Frost,2014,10,,,,,,,,,"JongBeom Lee, Keon Tan",mystery,9.80,43250046,3604869,0.083,420370,0.032,"College professor by day, and bartender by night, psychologist Dr. Frost believes in one simple belief. Humans are all the same. He uses this tenet to guide his practice, and solves the puzzles of the human mind one by one."
Fashion King    9.0,,,,,,,,,,,,,,,,,,,
Love Cells,2014,15,,,,,,,,,,,,,,,,,
Liar Game,2014,12,,,,,,,,,,,,,,,,,
Naeil's Cantabile,2014,16,,,,,,,,,,,,,,,,,
Aftermath Season 2    8.0,2014,6,,,,,,,,,,,,,,,,,
Aftermath    8.0,2014,5,,,,,,,,,,,,,,,,,
The Five,,,,,,,,,,,,,,,,,,,
Secretly Greatly,,,,,,,,,,,,,,,,,,,
Flower Boy Next Door    8.0,2013,16,,,,,,,,,,,,,,,,,
26 Years,,,,,,,,,,,,,,,,,,,
The Neighbors,,,,,,,,,,,,,,,,,,,
To the Beautiful You    6.0,2012,16,,,,,,,,,,,,,,,,,
Time Slip Dr. Jin,2012,22,,,,,,,,,,,,,,,,,
Holy Land,2012,4,,,,,,,,,,,,,,,,,
You're My Pet    8.5,,,,,,,,,,,,,,,,,,,
The Empress,2011,13,,,,,,,,,,,,,,,,,
City Hunter    8.5,2011,20,,,,,,,,,,,,,,,,,
President,2010,20,,,,,,,,,,,,,,,,,
Playful Kiss Seung Jo's Diary    9.5,2010,7,,,,,,,,,,,,,,,,,
Playful Kiss YouTube Edition    10,2010,7,,,,,,,,,,,,,,,,,
Playful Kiss    8.5,2010,16,,,,,,,,,,,,,,,,,
Mary Stayed Out All Night,2010,16,,,,,,,,,,,,,,,,,
Moss,,,,,,,,,,,,,,,,,,,
Master of Study,2010,16,,,,,,,,,,,,,,,,,
Boys over Flowers    10,2009,25,,,,,,,,,,,,,,,,,
Antique Bakery    8.5,,,,,,,,,,,,,,,,,,,
Baby & I    10,,,,,,,,,,,,,,,,,,,
I Am Your Teacher,2007,16,,,,,,,,,,,,,,,,,
200 Pounds Beauty    8.0,,,,,,,,,,,,,,,,,,,
One Fine Day,2006,16,,,,,,,,,,,,,,,,,
Old Boy,,,,,,,,,,,,,,,,,,,
Strangers from Hell    10,2019,10,,,,,,,,,,,,,,,,,
True Beauty    9.0,2020,16,,,,,,,,,,,,,,,,,
Extraordinary You    9.0,2019,32,,,,,,,,,,,,,,,,,
My Roommate Is a Gumiho    9.0,2021,16,,,,,,,,,,,,,,,,,
So I Married an Anti-Fan,2021,16,,,,,,,,,,,,,,,,,
Cheese in the Trap    8.0,2016,16,,,,,,,,,,,,,,,,,
Mama Fairy and the Woodcutter    6.0,2018,16,,,,,,,,,,,,,,,,,
The King's Affection,2021,20,,,,,,,,,,,,,,,,,
High! Touch,2021,6,,,,,,,,,,,,,,,,,
Light on Me,2021,16,,,,,,,,,,,,,,,,,
A DeadbEAT's Meal,2021,12,,,,,,,,,CHEESE,slice of life,9.20,6175682,885499,0.143,126640,0.005,"Now a major (K-Drama) adaptation.                                                                                                                                                                                                       
What’s better than a good meal? My name’s Jaeho and I love food. While some may call me a deadbEAT because I don’t have a job at the moment, I’m just your normal happy guy who loves eating and my girlfriend of 7 years… That is until I got a breakup text yesterday… Where did things go wrong? I keep trying to look back through the years, but I just can't figure it out..."
She Would Never Know,2021,16,,,,,,,,,"Cafelatte, Elize, JINHA",romance,9.08,15349571,1722652,0.112,468632,0.012,"Gentle in demeanor yet fiercely independent and competent, Songa is a top assistant brand manager at Klar Cosmetics who gets things done with a smile. Thriving in life, she is suddenly caught off guard by her charming junior colleague's enigmatic warning, ""Don't put on that lipstick."" Then an unexpected revelation changes everything."
Lovers of the Red Sky,2021,16,,,,,,,,,,,,,,,,,
Dark Hole,2021,12,,,,,,,,,,,,,,,,,
Our Beloved Summer,2021,16,,8.67,"Drama, Life, Romance, Youth","Character Development, Coming Of Age, Enemies To Lovers, First Love, Flashback To Past, Hate Relationship, Healing, High School Sweethearts, Interview, Love, Lovers Reunited, Second Chance Romance",106851,0.052,"Ahn Dong Goo, Choi  Woo Shik, Choi Woo Shik, Kim Da Mi, Kim Sung Cheol, Park Jin Joo, Roh Jeong Eui","Years after filming a viral documentary in high school, two bickering ex-lovers get pulled back in front of the camera — and into each other's lives. Choi Woong seems naive and a free-spirited man, but he wants to have something for the first time in his life. For that, he shows what he holds in his mind. Kook Yeon Soo aimed to become the top student at her school, but she is now an adult who lives fiercely, adapting to her reality.","Han Kyoung Chal, Lee Naeun",romance,9.80,7102900,763623,0.108,463559,0.006,"Now a major adaptation on streaming.
At Midsummer High, Yeonsu Guk is at the top of her class, while Wung Choi is ranked dead-last. And it’s not just their grades -- their personalities couldn’t be more different, as Yeonsu is a no-nonsense stickler and Wung is a care-free slacker. When a filmmaker comes to make a documentary about their school life over the course of a month, they’re not exactly thrilled to be spending so much time together. However, as the month goes on, they begin to discover each other’s hidden depths. At least one thing’s for certain -- they’ll never forget this summer!"
Best Mistake,2019,15,,,,,,,,,,,,,,,,,
Sweet Home    10,2020,10,,,,,,,,,,,,,,,,,
A Bitch and a Punk,,,,,,,,,,,,,,,,,,,
Most Liked Comment,2018,8,,,,,,,,,,,,,,,,,
Horror and Romance,,,,,,,,,,,,,,,,,,,
Olive Pocha,2018,14,,,,,,,,,,,,,,,,,
Her Private Life,2019,16,,8.37,"Business, Comedy, Drama, Romance","Art, Boss-Employee Relationship, Calm Male Lead, Eccentric Female Lead, Fan Culture, Hidden Personality, Independent Female Lead, Orphan Male Lead, Sismance, Smart Male Lead, Steamy Kiss, Strong Female Lead",138021,0.222,"Ahn Bo Hyun, Kim Bo Ra, Kim Jae Wook, One, Park Jin Joo, Park Min Young","A dedicated professional, Sung Deok Mi lives for her work as an art gallery curator. Devoting herself to her work, she is exceptional in every way, save one. Beneath that cool, professional facade, Deok Mi carries a dark secret. A secret she desperately wants to keep from the world. A secret that has driven lovers away. A secret that rules every moment of her personal life... Sung Deok Mi is the ultimate Cha Shi An fangirl. The devoted manager of a Shi An fansite, Deok Mi eats, breathes, and sleeps for Shi An. He is her sun, her moon. Her entire universe revolves around him. This is the secret Deok Mi must hide from the world. And hide it she does. At least until Ryan Gold, the art gallery’s new director, saunters into her life. A once famous painter, the former artist turned director considers himself an indifferent being, unconcerned with the lives of others. But when he uncovers Deok Mi’s secret, everything changes.",,,,,,,,,
Possessed,2019,16,,,,,,,,,,,,,,,,,
Tomorrow    10,2022,16,,,,,,,,,,,,,,,,,
Dear My Room,2018,12,,,,,,,,,,,,,,,,,
The Uncanny Counter,2020,16,,8.80,"Action, Drama, Mystery, Supernatural","Childhood Trauma, Evil Spirit, Found Family, Hidden Identity, Multiple Mains, Nice Male Lead, Orphan Male Lead, Righteous Male Lead, School Bullying, Special Power, Spirit, Strong Female Lead, Teamwork",107940,0.032,"Ahn Suk Hwan, Cho Byeong Kyu, Kim Se Jeong, Lee Hong Nae, Yeom Hye Ran, Yoo  Joon Sang, Yoo Joon Sang",Tells the story of demon hunters called Counters who come to earth under the guise of being employees at a noodle restaurant in order to capture evil spirits that have returned to earth in pursuit of eternal life.,,,,,,,,,
Art of Girls,,,,,,,,,,,,,,,,,,,
This Life to the Next,,,,,,,,,,,"YUNO, jojoohee",drama,9.25,3385530,384152,0.113,156987,0.003,"Isaeng and Jeongto were inseparable childhood friends until Jeongto’s father died tragically at the hands of a bitter soul. These two friends reunite ten years later as adversaries: Isaeng guides souls to the afterlife, while Jeongto gives souls another chance to live. After all this time, can these two work out their issues? And what do the Kings of Hell have to do with all of this?"
So You,0,16,,,,,,,,,,,,,,,,,
Dear X,2025,12,,,,,,,,,VANZIUN,thriller,9.54,9234883,943097,0.102,306547,0.007,"Ajin Baek is an actress at the top of her game. She has everything. She's a beautiful, award-winning actress, the public loves her, and she's about to announce that she's getting married. But on the night of the award ceremony, a news program exposes the darkness behind Ajin's glittery exterior. Just how far was Ajin willing to go to get to where she is now?"
The Borrowed Body,0,15,,,,,,,,,,,,,,,,,
Revenge Is Ours,,,,,,,,,,,,,,,,,,,
Cell,0,12,,,,,,,,,,,,,,,,,
Whale Star: The Gyeongseong Mermaid,,,,,,,,,,,Na Yoonhee,drama,9.86,12840799,1567709,0.122,322593,0.010,"The year is 1926 in this retelling of Hans Christian Andersen’s “The Little Mermaid”, and Joseon (present-day Korea), is under colonial Japanese rule. Su-a Heo is a handmaiden who spends her days working and swimming in the sea. Her work is her whole life, until one day, when she discovers a wounded independence fighter named Uihyeon Kang washed up on the shore. She nurses him back to health, only to lose her ability to speak in a botched murder attempt by Uihyeon’s comrade, Haesu Song. As she travels to the capital, Gyeongseong (present-day Seoul), to get revenge, she finds herself growing more and more intertwined with a strange, brave new world and the people within it."
Im Taking a Break from Dating Now,,,,,,,,,,,,,,,,,,,
Summer Solstice Point,,,,,,,,,,,,,,,,,,,
Delusion,,,,,,,,,,,Hongjacga,thriller,9.79,10024767,1211204,0.121,286930,0.008,"It's 1935 in Gyeongseong, and struggling artist Iho Yun has been commissioned by the reclusive, elderly Madam Jeonghwa Song to paint a portrait. Madam Jeonghwa Song allows Iho to set eyes upon her -- an unprecedented event -- and standing before him is a young woman. But why does she ask him to paint an elderly version of her? ""Don't finish the portrait."" Tucked between the previous artist's paint tubes is an ominous letter. Iho learns that no artist has left Madam Song's abode alive or of sound mind. Just what is she hiding and what will happen if Iho finishes the portrait?"
Cherry Blossoms after Winter,2022,8,,,,,,,,,,,,,,,,,
Again My Life,2022,16,,,,,,,,,,,,,,,,,
Kiss Sixth Sense,2022,12,,,,,,,,,,,,,,,,,
Oh Man Sang and Prejudice,,,,,,,,,,,,,,,,,,,
A History of Losers,2025,8,,,,,,,,,,,,,,,,,
1 Second (manhwa),,,,,,,,,,,,,,,,,,,
Beauty Newbie,,,,,,,,,,,,,,,,,,,
Black Knight (South Korean TV series),,,,,,,,,,,,,,,,,,,
Bloodhounds (South Korean TV series),,,,,,,,,,,,,,,,,,,
"Bring It On, Ghost",,,,8.10,"Comedy, Horror, Romance, Supernatural","Adapted From A Webtoon, Badass Female Lead, Bromance, Death, Exorcism, Ghost, Ghost-seeing Male Lead, Interspecies Romance, Nice Male Lead, Sassy Female Lead",87779,0.087,"David Lee, Kang Ki Young, Kim  Sang Ho, Kim So Hyun, Kwon Yool, Kwon Yul, Ok Taec Yeon","A cohabitation comedy about a ghost of a high school girl who has been dead for 5 years and an exorcist college boy with the ability to see and hear ghosts. What he’s discovered over the years is that he can touch them and fight them off, so when he’s in need of a part-time job and can’t find one that pays well enough, he starts putting ads online as an exorcist for hire. His ad: “Will face off with your ghosts. Chances of winning: virgin ghosts 80%, bachelor ghosts 40%, child ghosts 97%, the rest 50%.” One night he goes out on the job and faces off with a schoolgirl ghost, and during the fight, they accidentally kiss and sparks fly.~~ Adapted from the webtoon “Let's Fight, Ghost” (싸우자귀신아) by Iminsu (임인스).",,,,,,,,,
Cheese in the Trap (TV series),,,,,,,,,,,,,,,,,,,
Chicken Nugget (TV series),,,,,,,,,,,,,,,,,,,
Connect (TV series),,,,,,,,,,,,,,,,,,,
D.P. (TV series),,,,,,,,,,,,,,,,,,,
The Deal (TV series),,,,,,,,,,,,,,,,,,,
Dear X (TV series),,,,,,,,,,,,,,,,,,,
Delusion (South Korean TV series),,,,,,,,,,,,,,,,,,,
Dr. Brain (TV series),,,,,,,,,,,,,,,,,,,
Dr. Frost (TV series),,,,,,,,,,,,,,,,,,,
Dr. Park's Clinic,,,,,,,,,,,,,,,,,,,
Duty After School,,,,,,,,,,,Ilkwon Ha,sci-fi,9.67,7411616,518572,0.070,175893,0.005,What would you do if your school's extracurricular activity was a mandatory military service amidst an actual war? A class of students is turned into a platoon of soldiers to fight against unknown slime-like objects.
Flower Boys Next Door,,,,,,,,,,,,,,,,,,,
Gangnam Beauty,,,,,,,,,,,,,,,,,,,
A Girl Who Sees Smells,,,,,,,,,,,,,,,,,,,
Go Back (TV series),,,,,,,,,,,,,,,,,,,
The God of High School,,,,,,,,,,,Yongje Park,action,9.70,792773286,31675143,0.040,2935039,0.553,"Mori Jin is a high school student and Taekwondo specialist who enters ""The God of High School,"" a fighting tournament that promises the winner anything they want. What began as a competition to seek out the best high school fighter soon reveals itself to be part of a much greater plot that goes beyond Mori's wildest imagination. What will he give to become a true god?"
Hell Is Other People (TV series),,,,,,,,,,,,,,,,,,,
Hellbound (TV series),,,,,,,,,,,,,,,,,,,
Hogu's Love,,,,,,,,,,,,,,,,,,,
Hope: Kitai Zero no Shinnyu Shain,,,,,,,,,,,,,,,,,,,
"Hyde Jekyll, Me",,,,,,,,,,,,,,,,,,,
Imitation (TV series),,,,,,,,,,,,,,,,,,,
Island (South Korean TV series),,,,,,,,,,,,,,,,,,,
Item (TV series),,,,,,,,,,,,,,,,,,,
Joseon Attorney,,,,,,,,,,,,,,,,,,,
Kingdom (South Korean TV series),,,,,,,,,,,,,,,,,,,
Knight Flower,,,,,,,,,,,,,,,,,,,
Last (TV series),,,,,,,,,,,,,,,,,,,
The Law Cafe,,,,,,,,,,,,,,,,,,,
Let's Fight Ghost (Thai TV series),,,,,,,,,,,,,,,,,,,
Love Revolution (web series),,,,,,,,,,,,,,,,,,,
Lovely Runner,,,,9.00,"Comedy, Fantasy, Music, Romance","Age Gap [Real Life], Butterfly Effect, Determined Female Lead, Famous Male Lead, Love At First Sight, Passionate Male Lead, Past And Present, Second Chance, Time Altering, Time Travel",95003,-0.053,"Byeon Woo Seok, Hong Seung Hee, Jung Suk Yong, Kim Hye Yoon, Lee Je Hoon, Lee Seung Hyub, Song Geon Hee, Tang Jun Sang","In the glitzy realm of stardom, Ryu Seon Jae shines as a top-tier celebrity, captivating the spotlight since his debut. Despite the facade of a perfect life, the demanding nature of the entertainment industry has left him utterly exhausted. Im Sol, an ardent admirer, holds an affectionate love for Ryu Seon Jae. A childhood accident derailed her dreams, yet the solace found in Ryu Seon Jae's music on the radio transformed her into an unwavering fan.",,,,,,,,,
